iter	Passed	Remaining
906	1039	106
907	1040	105
908	1041	104
909	1042	103
910	1043	101
911	1044	100
912	1045	99
913	1046	98
914	1047	97
915	1048	96
916	1050	95
917	1051	93
918	1052	92
919	1053	91
920	1054	90
921	1055	89
922	1056	88
923	1058	87
924	1059	85
925	1060	84
926	1061	83
927	1062	82
928	1063	81
929	1064	80
930	1065	78
931	1066	77
932	1067	76
933	1068	75
934	1069	74
935	1070	73
936	1071	72
937	1072	70
938	1073	69
939	1074	68
940	1076	67
941	1077	66
942	1077	65
943	1078	64
944	1079	62
945	1080	61
946	1081	60
947	1082	59
948	1083	58
949	1085	57
950	1086	55
951	1087	54
952	1088	53
953	1089	52
954	1090	51
955	1091	50
956	1092	49
957	1093	47
958	1094	46
959	1095	45
960	1096	44
961	1097	43
962	1098	42
963	1099	41
964	1100	39
965	1101	38
966	1102	37
967	1103	36
968	1104	35
969	1105	34
970	1106	33
971	1107	31
972	1108	30
973	1109	29
974	1110	28
975	1111	27
976	1112	26
977	1113	25
978	1114	23
979	1115	22
980	1117	21
981	1118	20
982	1119	19
983	1120	18
984	1121	17
985	1122	15
986	1123	14
987	1124	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1132	5
995	1133	4
996	1134	3
997	1135	2
998	1136	1
999	1137	0
